S.No,Company Name,Product Name,Brand Name,Description of the Product,Product Type,Sub-Type,Applied Seasons,Suitable Crops,Benefits,Dosage (Unit/acre),Application Method,Pack Sizes,Price Range,Available In (States),Organic/Certified,Product Image Link,Source URL,Notes
1,Nuziveedu Seeds Ltd.,Champion NPH-207 Hybrid Paddy,Champion NPH-207,Medium duration hybrid paddy with tolerance to water stress and good cooking quality,Seed,Paddy Hybrid,"Kharif, Rabi",Paddy,Tolerant to water stress; Good cooking quality,Not Available,Sowing (Transplanting),Not Available,Not Available,"Andhra Pradesh, Assam, Bihar, Chhattisgarh, Gujarat, Haryana, Himachal Pradesh, Jharkhand, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal",No,Image Link,https://nuziveeduseeds.com/products/field-crop/paddy-variety/,--
2,Nuziveedu Seeds Ltd.,NPH 2003 Deva Hybrid Paddy,NPH 2003 Deva,Not Available,Seed,Paddy Hybrid,Kharif,Paddy,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/paddy-variety/,--
3,Nuziveedu Seeds Ltd.,Winner NPH-567 Hybrid Paddy,Winner NPH-567,Not Available,Seed,Paddy Hybrid,Kharif,Paddy,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/paddy-variety/,--
4,Nuziveedu Seeds Ltd.,Raja NPH-369 Hybrid Paddy,Raja NPH-369,Not Available,Seed,Paddy Hybrid,Kharif,Paddy,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/paddy-variety/,--
5,Nuziveedu Seeds Ltd.,NPH-X4 Hybrid Paddy,NPH-X4,Not Available,Seed,Paddy Hybrid,"Kharif, Rabi",Paddy,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
6,Nuziveedu Seeds Ltd.,NPH-X5 Hybrid Paddy,NPH-X5,Not Available,Seed,Paddy Hybrid,Kharif,Paddy,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
7,Nuziveedu Seeds Ltd.,NPH-X8 Hybrid Paddy,NPH-X8,Not Available,Seed,Paddy Hybrid,Kharif,Paddy,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
8,Nuziveedu Seeds Ltd.,NPH-X14 Hybrid Paddy,NPH-X14,Not Available,Seed,Paddy Hybrid,Kharif,Paddy,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
9,Nuziveedu Seeds Ltd.,Sunny NMH-777 Hybrid Maize,Sunny NMH-777,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
10,Nuziveedu Seeds Ltd.,Bond NMH-007 Hybrid Maize,Bond NMH-007,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
11,Nuziveedu Seeds Ltd.,Sandhya NMH-666 Hybrid Maize,Sandhya NMH-666,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
12,Nuziveedu Seeds Ltd.,Dragon NMH-1247 Hybrid Maize,Dragon NMH-1247,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
13,Nuziveedu Seeds Ltd.,Mallika NMH-920 Hybrid Maize,Mallika NMH-920,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
14,Nuziveedu Seeds Ltd.,Shresta NMH-731 Hybrid Maize,Shresta NMH-731,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
15,Nuziveedu Seeds Ltd.,Shaurya NMH-803 Hybrid Maize,Shaurya NMH-803,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
16,Nuziveedu Seeds Ltd.,Trupthi NMH-4040 Hybrid Maize,Trupthi NMH-4040,Not Available,Seed,Maize Hybrid,"Kharif, Rabi",Maize,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/maize-variety/,--
17,Nuziveedu Seeds Ltd.,Balwan NBH-4903 Hybrid Bajra,Balwan NBH-4903,Not Available,Seed,Bajra Hybrid,"Kharif, Summer",Bajra,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
18,Nuziveedu Seeds Ltd.,NBH-5863 Hybrid Bajra,NBH-5863,Not Available,Seed,Bajra Hybrid,"Kharif, Summer",Bajra,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
19,Nuziveedu Seeds Ltd.,Sun Max NBH-5922 Hybrid Bajra,Sun Max NBH-5922,Not Available,Seed,Bajra Hybrid,"Kharif, Summer",Bajra,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
20,Nuziveedu Seeds Ltd.,Kavita NWS-2084 Wheat Variety,Kavita NWS-2084,Not Available,Seed,Wheat Variety,Rabi,Wheat,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
21,Nuziveedu Seeds Ltd.,Sampada Wheat Variety,Sampada,Not Available,Seed,Wheat Variety,Rabi,Wheat,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
22,Nuziveedu Seeds Ltd.,Veer Wheat Variety,Veer,Not Available,Seed,Wheat Variety,Rabi,Wheat,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
